200,2,126
200,4,131
200,8,245
200,16,570
200,32,948
200,64,2110
200,128,4881
400,2,120
400,4,499
400,8,607
400,16,905
400,32,2713
400,64,18289
400,128,43180
800,2,176
800,4,842
800,8,1498
800,16,3231
800,32,6292
800,64,89075
800,128,69292
1000,2,289
1000,4,1252
1000,8,2351
1000,16,2474
1000,32,8117
1000,64,25272
1000,128,60800
2000,2,624
2000,4,1356
2000,8,2952
2000,16,10140
2000,32,33365
2000,64,186713
2000,128,369008
4000,2,1338
4000,4,4384
4000,8,5732
4000,16,28910
4000,32,80066
4000,64,465296
4000,128,1971674
8000,2,905
8000,4,9053
8000,8,14056
8000,16,54626
8000,32,109157
8000,64,1277955
8000,128,2104121
16000,2,1955
16000,4,13445
16000,8,47784
16000,16,202408
16000,32,749938
16000,64,2276415
16000,128,2659472
32000,2,7561
32000,4,24861
32000,8,123866
32000,16,343974
32000,32,1033912
32000,64,4263641
32000,128,14158074
64000,2,15338
64000,4,51325
64000,8,192216
64000,16,620869
64000,32,919445
64000,64,11688999
64000,128,52180655
